start	end	text
0	6600	Let's read this paragraph in here about these quote
6600	10840	coronal discharges that you guys are seeing and that
10840	16480	completely stops us. Tell us how this came about and who
16480	19320	talked to you about and what you saw.
19320	22800	We reported it on somebody reported it on one of the earlier
22800	27120	flights that some guy up like that the letter is made for
27120	30960	or some where they just began to make a case of that two things.
30960	34680	Where the VHS radio devices would be 50 yards in from some
34680	38720	place. And the other one where my father was on the
38720	41560	old flight, he said, of course, the implant is one of the
41560	44440	spacecraft. It's nice when they're eyes closed.
44440	47480	They're not only in all of these drives. They say they know
47480	49960	that when they were awake, it's not just the spacecraft
49960	52920	was dark and they thought they were in the spacecraft.
52920	55520	But whoever this guy was, you know, that's a very, really
55520	58920	no phenomenon. You get this guy in front of your eyes on
58920	62920	gamma rays or something. So he said, what do you think?
62920	67160	Would we hold our eyes and face the mood? You know, when we
67160	70520	were orbiting it, because it would be more, you get left
70520	73800	this guy just faces the mood in a way from them.
73800	75720	You know, that's the thing where it's due to the mood or
75720	81080	anywhere. It's very nice happening. And if you keep your eyes
81080	83640	closed, then you're awake down there and it's starting to
83640	87800	think about it. But if you're going to add, you can sit down
87800	90520	and it's more high. It's the size of this drive. You can see
90520	94120	his whole life is really, you know, one eye or the other eye.
94120	97800	Because we want to find it is we have to find it. I guess the
97800	101960	part of the leader is right at the eyeball, or at the
101960	107000	very, very parallel. And we get either a plant like that, or
107000	112200	we get a tree. And I do think I know the way they got a
112200	116280	plant or a tree. And I do think there's a lot of more with my
116280	119160	eyes and my white eyes. But I can tell which eye is
119160	122840	what I was talking to. I'm trying to tell you the reason you
122840	125880	get it, because it's where he's left, but it's always
125880	129480	out of that kind of space. But I've got to quit for the
129560	145240	problem. They should have protected you, they should have all, they
145240	148200	should have picked them all up.
159480	171480	I remember their conversation about it.
190360	193320	I can't remember it was one of the more predominantly
193320	197080	others. But I agree with it, but I don't know if you're not seeing
197080	200200	the pole, but it's not something external to you, there's something
200200	201160	that's in front of you.
201160	204520	Inside of the car here, I'm going to talk to you that's one.
204520	207160	Apparently they know that. They're just complaining,
207160	209000	no, no, no.
209000	213400	Well, we've been looking for cosmic rays, you know, cosmic rays
213400	217720	strikes. And having, having particles, having nuclei that
217720	220360	go through it, you know, we start at clearback and mercury,
220360	223000	taking photographs of the retina, see if you can see his
223000	225080	streaks across the retina and stuff. We never
225080	228440	could find any in there. And so we stopped that up
228440	230920	early in, well, by the end of the
230920	235160	site. You're the eye is, what's the fancy fuel to run your body,
235160	237480	and if it's doing anything, you're never going to see it, but
237480	239960	any of the back of the layer, you're going to see it, it's going to
239960	242360	grab to the right up to the front pole.
242360	245720	Well, probably what it's doing anyway, it's probably hitting just a single
245720	249960	cell, and yeah, that's all it has to do, particularly make this
249960	252520	flesh, you know, you hit a single cell.
252520	255240	I saw a red line, but I was looking at the MBC
255240	257160	a hander, it was a couple of bucks.
257160	259800	And one right right off, I don't know whether it went
259800	263240	here, you know, right there's one on my hander that's about that
263240	267080	that's just, I just got to be looking at that. And I'm just
267080	270120	almost in the wheel, that's right where you just line there,
270120	272680	it's all your eyes, what if they don't want it, but you want to
272680	277160	the yellow line, it doesn't already do it.
277160	281000	You can't believe it at first, because it's not the first night.
281000	283960	And I know that that, hey, I can't believe it,
283960	286920	it's very low, it's from that single one of the
286920	289800	hard eyes, you can't see them, they can't explain them
289800	292440	at the beginning, they can't tell them to make it.
292440	295960	Wake up at night, you can't see them, they can go to your eyes,
295960	301880	they can tell about what it is, it's really really good.
301880	305640	Let me ask you one more question about heart,
305640	310120	oh here, where the land of distribution of these
310120	314760	are, where this thing is apparently horizontal.
314760	319000	Okay, were these, were these things random,
319000	323080	or did they all seem to be in one direction like were they always horizontal,
323080	325800	or were they at random, they could be at any kind of angle?
325800	329880	So the streets that I saw on, or I just want to ask all the horizontal,
329880	332200	I said I'd say that's just the same line.
332200	336200	It seems to me, I had the impression that they were always roughly in the same
336200	341000	place, and mine were horizontal, so hard on all streets were always.
341000	344040	If I knew where I was looking, it always seemed like the hard on all
344040	346680	streets with a little bit above the center.
346680	349800	And it always seemed to me it went from right to left.
349800	356520	And I would like to be, this yard just to go more towards the center,
356520	359880	and it would be just a, it would just light up this point of light,
359880	362920	but it's closer to the end.
362920	366120	Like some I was flashing a light at you.
366120	368120	That's right.
368120	369800	Yeah, it's not too big of a light at you.
369800	371800	Yeah, it went still, you're very small.
371800	376760	Yeah, yeah, it's a, it's a, it's a, it's important.
376760	382440	Is that about the same for both of these?
382440	388520	Is that the same reaction you had dick, and how the way he described it?
388520	392440	What that says is, you know, my relationship was about 30 degrees yards on what they were
392440	397400	coming, I didn't know it was no further light or whatever.
397400	399400	That's pretty helpful.
399400	404120	But about the same, they seem to appear about the same place.
404120	409880	You know, I know, it's not just, but one of the, the horizontal ones that I saw were
409880	413880	generally exposed by the same way, it was generally fine.
413880	420280	I don't know that I can't include it, I can't remember, I just don't remember it,
420280	423880	I have been down on the lower part of the conviction.
423880	429800	Well, I think it was, we think that dick's telling you that it was a guy's open,
429800	435320	and if others think that he centers eye on the light that he is, they're going to tell.
435320	440360	Like to know that the most one down there that's leafed by a bit of a thick black down there in the hole.
440360	443880	And when making every one of those little circles, and I can lay there for it,
443880	445960	if you don't find that way, they work.
445960	451080	I have an hour, and either open up or close them in the way, if you're not there for a while,
451080	452280	I mean, get one.
452280	455720	And then I get there for a while to go to the left side of the right.
455720	457560	I think you want to sort it out.
457560	461400	And if you think that you're out, we die over there.
461400	463960	Now, you know what you do, it's supposed to be just leave it home.
463960	467960	Yeah, it's supposed to be just leave it home.
467960	469560	And there was a comment that,
